🔁 Backfilling project_audio from legacy projects...

📦 Legacy projects found: 118890

⏳ 31800/118890 (27%) | inserted=13832 | alreadyHadAudio=17968 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=35673
⏳ 32000/118890 (27%) | inserted=13975 | alreadyHadAudio=18025 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=35885
⏳ 32200/118890 (27%) | inserted=14134 | alreadyHadAudio=18066 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=36098
⏳ 32400/118890 (27%) | inserted=14175 | alreadyHadAudio=18225 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=36321
⏳ 32600/118890 (27%) | inserted=14283 | alreadyHadAudio=18317 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=36536
⏳ 32800/118890 (28%) | inserted=14366 | alreadyHadAudio=18434 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=36752
⏳ 33000/118890 (28%) | inserted=14468 | alreadyHadAudio=18532 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=36971
⏳ 33200/118890 (28%) | inserted=14468 | alreadyHadAudio=18732 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=37184
⏳ 33400/118890 (28%) | inserted=14475 | alreadyHadAudio=18925 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=37408
⏳ 33600/118890 (28%) | inserted=14486 | alreadyHadAudio=19114 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=37637
