🚀 Starting projects + audio migration: Thu Dec 11 23:13:44 -05 2025
\n=== (1/3) Migrating projects to DB ===
🚀 Starting Projects Migration

==================================================
📦 Found 120091 legacy projects to process

📋 Loading legacy users mapping...
   Found 48404 legacy users with Supabase IDs

📋 Loading existing migrated projects...
   Found 1 already migrated projects

📋 120090 projects to migrate (1 already done)


⏳ Progress: 57600/120090 (48%) - Migrated: 57400, Skipped: 200, Failed: 0
⏳ Progress: 57800/120090 (48%) - Migrated: 57599, Skipped: 201, Failed: 0
⏳ Progress: 58000/120090 (48%) - Migrated: 57799, Skipped: 201, Failed: 0
⏳ Progress: 58200/120090 (48%) - Migrated: 57998, Skipped: 202, Failed: 0
⏳ Progress: 58400/120090 (49%) - Migrated: 58198, Skipped: 202, Failed: 0
⏳ Progress: 58600/120090 (49%) - Migrated: 58398, Skipped: 202, Failed: 0
⏳ Progress: 58800/120090 (49%) - Migrated: 58598, Skipped: 202, Failed: 0
⏳ Progress: 59000/120090 (49%) - Migrated: 58798, Skipped: 202, Failed: 0
⏳ Progress: 59200/120090 (49%) - Migrated: 58998, Skipped: 202, Failed: 0
⏳ Progress: 59400/120090 (49%) - Migrated: 59198, Skipped: 202, Failed: 0
⏳ Progress: 59600/120090 (50%) - Migrated: 59398, Skipped: 202, Failed: 0
